C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.6500000000000001,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.7000000000000002,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.75,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.8,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.85,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.9000000000000001,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.9500000000000002,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.0500000000000003,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.15,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.2,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.25,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.3000000000000003,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.35,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.4000000000000004,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.45,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
